                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68112,                0.92923,                 1.0429,                 0.8933,                0.89399,                 0.9576,                0.81101,                0.71279,                0.60318,                 0.9408,             0.00022421,             0.00022421,             0.00022421
                     36,                0.67914,                0.92287,                 1.0472,                0.91577,                0.86818,                0.95638,                0.79777,                0.78806,                0.61191,                 0.9732,             0.00022091,             0.00022091,             0.00022091
                     37,                0.66986,                0.92345,                  1.049,                0.92342,                0.87256,                 0.9552,                0.81628,                0.69661,                0.60813,                 0.9303,             0.00021762,             0.00021762,             0.00021762
                     38,                0.67523,                0.90246,                 1.0432,                0.88073,                0.88979,                0.94946,                 0.7955,                0.72467,                 0.6148,                0.94773,             0.00021432,             0.00021432,             0.00021432
                     39,                0.67662,                0.90338,                 1.0457,                0.86355,                0.90182,                0.93765,                0.77651,                0.80225,                0.66969,                0.97439,             0.00021102,             0.00021102,             0.00021102
                     40,                0.66092,                0.88359,                 1.0477,                0.88866,                0.89604,                0.94389,                0.77259,                0.83637,                0.64294,                0.99469,             0.00020773,             0.00020773,             0.00020773
                     41,                0.66866,                 0.8934,                 1.0423,                0.90118,                0.87141,                0.95039,                0.80099,                0.73887,                0.60863,                 0.9533,             0.00020443,             0.00020443,             0.00020443
                     42,                0.66292,                0.88663,                 1.0419,                0.90805,                0.88352,                 0.9548,                0.80709,                0.74051,                 0.6227,                0.94685,             0.00020113,             0.00020113,             0.00020113
                     43,                 0.6754,                0.87681,                 1.0395,                0.91884,                0.87762,                0.96572,                0.81765,                0.72124,                0.58471,                0.93998,             0.00019784,             0.00019784,             0.00019784
                     44,                0.66498,                0.87698,                 1.0407,                0.86193,                0.89353,                0.95377,                0.80178,                0.73995,                0.61038,                0.94552,             0.00019454,             0.00019454,             0.00019454
                     45,                0.65931,                0.86555,                  1.034,                0.91325,                0.87977,                 0.9566,                0.80125,                0.77084,                 0.6063,                0.96024,             0.00019124,             0.00019124,             0.00019124
                     46,                 0.6597,                0.86153,                 1.0447,                0.89302,                0.87099,                0.94553,                0.79018,                0.75299,                 0.6176,                0.95143,             0.00018795,             0.00018795,             0.00018795
                     47,                0.65425,                0.85108,                 1.0376,                 0.8905,                0.86116,                0.95833,                0.80059,                0.77248,                0.62698,                 0.9571,             0.00018465,             0.00018465,             0.00018465
                     48,                0.65142,                0.84692,                 1.0359,                0.91579,                0.84379,                0.95828,                0.78484,                 0.8472,                0.62144,                0.99113,             0.00018135,             0.00018135,             0.00018135
                     49,                0.63995,                 0.8293,                 1.0262,                0.88507,                0.89213,                0.94294,                0.77891,                0.80526,                0.60754,                0.96509,             0.00017806,             0.00017806,             0.00017806
                     50,                0.64419,                0.83825,                 1.0336,                0.91847,                0.85583,                 0.9669,                0.81348,                0.78212,                0.58585,                0.96361,             0.00017476,             0.00017476,             0.00017476
                     51,                0.63766,                0.82663,                 1.0259,                0.88543,                0.89675,                0.95958,                0.79167,                0.81001,                0.59358,                0.96895,             0.00017146,             0.00017146,             0.00017146
                     52,                0.63749,                0.81036,                 1.0302,                0.87083,                0.87829,                0.96392,                 0.8252,                0.69371,                0.63069,                0.92735,             0.00016817,             0.00016817,             0.00016817
                     53,                0.63623,                0.81109,                 1.0114,                0.90564,                 0.8921,                0.96431,                0.84151,                0.63908,                0.55863,                0.90775,             0.00016487,             0.00016487,             0.00016487
                     54,                0.63854,                0.81904,                 1.0243,                 0.8527,                0.93321,                0.95393,                0.79203,                0.82231,                0.61532,                 0.9787,             0.00016157,             0.00016157,             0.00016157
                     55,                0.63641,                0.78774,                 1.0165,                0.90676,                0.89606,                0.96135,                0.79386,                0.83115,                0.59188,                0.97914,             0.00015827,             0.00015827,             0.00015827
                     56,                0.63066,                0.77013,                 1.0256,                0.87984,                0.88755,                0.94756,                 0.8126,                0.70937,                0.61901,                0.93175,             0.00015498,             0.00015498,             0.00015498
                     57,                0.61613,                0.76657,                 1.0168,                0.87512,                0.89624,                0.95583,                0.80537,                0.71699,                0.58989,                0.93056,             0.00015168,             0.00015168,             0.00015168
                     58,                0.63709,                0.79827,                 1.0282,                0.87835,                0.88748,                0.95911,                0.80368,                0.76435,                0.58237,                 0.9509,             0.00014838,             0.00014838,             0.00014838
                     59,                0.61934,                0.77963,                 1.0122,                0.91236,                0.88934,                0.95636,                0.79229,                0.81313,                0.56914,                 0.9676,             0.00014509,             0.00014509,             0.00014509
                     60,                  0.628,                0.79408,                 1.0187,                0.90017,                0.88361,                0.95843,                0.80066,                 0.7681,                0.57816,                0.95436,             0.00014179,             0.00014179,             0.00014179
                     61,                0.61202,                0.73558,                 1.0116,                0.89837,                0.91491,                0.96588,                0.81185,                0.77288,                0.57119,                0.95601,             0.00013849,             0.00013849,             0.00013849
                     62,                0.62569,                0.75591,                 1.0208,                0.89509,                0.88947,                 0.9669,                0.82122,                0.73934,                0.59733,                0.94238,              0.0001352,              0.0001352,              0.0001352
                     63,                0.62757,                0.78496,                 1.0244,                0.91451,                0.86829,                0.96505,                0.81047,                0.74253,                0.57248,                0.94253,              0.0001319,              0.0001319,              0.0001319
                     64,                0.61754,                0.75399,                  1.016,                0.89205,                0.87443,                0.95517,                0.79964,                0.76616,                0.59284,                0.95447,              0.0001286,              0.0001286,              0.0001286
                     65,                0.61059,                0.73729,                 1.0078,                0.92142,                 0.8897,                0.96476,                0.80714,                0.75685,                0.55944,                0.95234,             0.00012531,             0.00012531,             0.00012531
                     66,                0.61131,                0.74503,                 1.0105,                0.89232,                0.89773,                0.96119,                0.79925,                0.81595,                 0.5693,                0.96911,             0.00012201,             0.00012201,             0.00012201
                     67,                 0.6055,                0.73805,                 1.0051,                0.92129,                0.88979,                0.97066,                0.81162,                0.79267,                0.53181,                0.96424,             0.00011871,             0.00011871,             0.00011871
                     68,                0.60281,                0.73561,                 1.0098,                0.90407,                0.89558,                0.97024,                 0.7926,                0.83274,                0.55556,                0.98225,             0.00011542,             0.00011542,             0.00011542
                     69,                0.59712,                0.73594,                 1.0082,                0.90438,                0.90513,                0.96948,                 0.8161,                0.75535,                0.53995,                0.94461,             0.00011212,             0.00011212,             0.00011212
                     70,                0.60405,                0.73226,                 1.0077,                0.92498,                0.88796,                0.96656,                0.80639,                0.78924,                0.56002,                0.95847,             0.00010882,             0.00010882,             0.00010882
                     71,                 0.5973,                0.72281,                0.99981,                0.87086,                0.92141,                0.96824,                0.80741,                 0.7956,                0.52734,                0.95769,             0.00010553,             0.00010553,             0.00010553
                     72,                   0.61,                0.73577,                 1.0075,                0.89414,                0.90207,                0.96551,                0.80353,                0.79984,                0.54231,                0.97017,             0.00010223,             0.00010223,             0.00010223
                     73,                0.61135,                0.71472,                 1.0131,                0.88614,                0.89872,                0.96116,                0.80457,                0.81628,                0.55438,                0.97592,             9.8934e-05,             9.8934e-05,             9.8934e-05
